,Index,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,hour,weekday,month,year,is_weekday,is_night,distance_km
0,24238194,7.5,-73.99981689453125,40.73835372924805,-73.99951171875,40.72321701049805,1,19,3,5,2015,0,0,1.683322752402931
1,27835199,7.7,-73.994355,40.728225,-73.99471,40.750325,1,20,4,7,2009,0,0,2.4575898837790584
2,44984355,12.9,-74.005043,40.74077,-73.962565,40.772647,1,21,0,8,2009,0,0,5.036377190242993
3,25894730,5.3,-73.976124,40.790844,-73.965316,40.803349,3,8,4,6,2009,0,0,1.661683458435346
4,17610152,16.0,-73.925023,40.744085,-73.97308199999999,40.761247,5,17,3,8,2014,0,0,4.475449963028176
5,44470845,4.9,-73.96901899999999,40.75591,-73.96901899999999,40.75591,1,2,5,2,2011,1,1,0.0
6,48725865,24.5,-73.96144699999999,40.693965000000006,-73.871195,40.774297,5,7,6,10,2014,1,0,11.731014883538434
7,44195482,2.5,0.0,0.0,0.0,0.0,1,13,1,12,2012,0,0,0.0
8,15822268,9.7,-73.975187,40.745767,-74.00272,40.743537,1,9,4,2,2012,0,0,2.332711009340077
9,50611056,12.5,-74.001065,40.741787,-73.96304,40.775012,1,19,3,3,2012,0,0,4.889416888104932
10,2205147,6.5,-73.9743881225586,40.74695205688477,-73.98858642578125,40.729804992675774,1,17,4,5,2015,0,0,2.2508576218600655
11,6379048,8.5,0.0,0.0,0.0,0.0,1,22,0,5,2011,0,1,0.0
12,31892535,3.3,-73.966378,40.80444,-73.96589,40.807133,5,14,1,5,2011,0,0,0.30225169336801644
13,13012786,10.9,-73.953352,40.767382,-73.97251,40.796137,1,11,5,6,2011,1,0,3.581250827378925
14,48411337,6.9,-73.97336999999999,40.755193,-73.97826500000001,40.766375,1,22,1,4,2010,0,1,1.3099499000119
15,46272151,9.7,-73.990718,40.75192,-73.97305300000001,40.74423,2,9,1,2,2012,0,0,1.7162774216529932
16,11875730,4.9,-73.988908,40.756982,-73.981246,40.76005,1,9,3,9,2011,0,0,0.7299655487752681
17,1728270,10.5,-74.00566500000001,40.741138,-73.97783000000001,40.749338,2,23,5,3,2011,1,1,2.5159500721201353
18,49173512,12.0,-73.96253204345702,40.767189025878906,-73.97445678710938,40.75386047363281,1,8,2,3,2015,0,0,1.7903192532933896
19,33157445,4.9,-73.992075,40.719633,-73.985323,40.727405,1,0,5,8,2009,1,1,1.0347036107860215
